Type,Name,Display Name,Description,Tags,Platforms,Owners,Status,Example Value
Property,user_id,User ID,Unique identifier for the user,User;Authentication,Web,team@voxxypresents.com,Visible,user_123456
Property,user_role,User Role,Role of the user in the system,User;Authentication,Web,team@voxxypresents.com,Visible,organizer
Property,sign_in_method,Sign In Method,Method used to sign in,Authentication,Web,team@voxxypresents.com,Visible,email_password
Property,club_name,Club Name,Name of the club created,Product;Conversion,Web,team@voxxypresents.com,Visible,Brooklyn Arts Club
Property,venue_name,Venue Name,Name of the venue listed,Product;Conversion;Venues,Web,team@voxxypresents.com,Visible,Downtown Gallery
Property,event_title,Event Title,Title of the event created,Product;Conversion,Web,team@voxxypresents.com,Visible,Art Show Opening
Property,event_type,Event Type,Type of event created,Product,Web,team@voxxypresents.com,Visible,art_exhibition
Property,event_id,Event ID,Unique identifier for the event,Product,Web,team@voxxypresents.com,Visible,event_123456
Property,rsvp_type,RSVP Type,Type of RSVP made,Product;Conversion,Web,team@voxxypresents.com,Visible,attending
Property,element_type,Element Type,Type of element clicked,User Behavior,Web,team@voxxypresents.com,Visible,button
Property,element_text,Element Text,Text content of clicked element,User Behavior,Web,team@voxxypresents.com,Visible,Learn More
Property,element_id,Element ID,HTML ID of clicked element,User Behavior;Technical,Web,team@voxxypresents.com,Visible,hero-cta-button
Property,interaction_type,Interaction Type,Type of interaction on landing page,Landing Page;User Behavior,Web,team@voxxypresents.com,Visible,click
Property,element_name,Element Name,Name of landing page element,Landing Page,Web,team@voxxypresents.com,Visible,hero_banner
Property,section_name,Section Name,Section of page where interaction occurred,Landing Page;Layout,Web,team@voxxypresents.com,Visible,hero
Property,timestamp,Timestamp,ISO timestamp of when event occurred,Technical,Web,team@voxxypresents.com,Visible,2024-12-01T15:30:00Z
Property,session_id,Session ID,Unique identifier for user session,Technical;Session,Web,team@voxxypresents.com,Visible,sess_123456789
Property,viewport_width,Viewport Width,Width of browser viewport in pixels,Technical;Browser,Web,team@voxxypresents.com,Visible,1920
Property,viewport_height,Viewport Height,Height of browser viewport in pixels,Technical;Browser,Web,team@voxxypresents.com,Visible,1080
User Property,organization_name,Organization Name,Name of user's organization,User;Organization,Web,team@voxxypresents.com,Visible,Brooklyn Arts Collective
User Property,event_frequency,Event Frequency,How often user hosts events,User;Product,Web,team@voxxypresents.com,Visible,monthly
User Property,typical_attendance,Typical Attendance,Typical attendance at user's events,User;Product,Web,team@voxxypresents.com,Visible,50-100
User Property,biggest_challenge,Biggest Challenge,User's biggest challenge in event organizing,User;Product,Web,team@voxxypresents.com,Visible,venue_booking
User Property,first_visit_date,First Visit Date,Date of user's first visit,User;Acquisition,Web,team@voxxypresents.com,Visible,2024-12-01
User Property,pages_visited,Pages Visited,List of pages user has visited,User;Behavior,Web,team@voxxypresents.com,Visible,"Home,Pricing,Features"
User Property,total_sessions,Total Sessions,Total number of user sessions,User;Engagement,Web,team@voxxypresents.com,Visible,5
User Property,most_engaged_content,Most Engaged Content,Content user engages with most,User;Engagement,Web,team@voxxypresents.com,Visible,Budget Calculator
User Property,conversion_stage,Conversion Stage,Current stage in conversion funnel,User;Conversion,Web,team@voxxypresents.com,Visible,interested
User Property,preferred_device,Preferred Device,User's preferred device type,User;Technical,Web,team@voxxypresents.com,Visible,desktop
User Property,browser,Browser,User's browser,User;Technical,Web,team@voxxypresents.com,Visible,Chrome
User Property,operating_system,Operating System,User's operating system,User;Technical,Web,team@voxxypresents.com,Visible,macOS
User Property,email,Email,User's email address,User;Contact,Web,team@voxxypresents.com,Visible,user@example.com
User Property,user_id,User ID,Unique user identifier,User;Identity,Web,team@voxxypresents.com,Visible,user_123456
User Property,user_role,User Role,User's role in the platform,User;Identity,Web,team@voxxypresents.com,Visible,organizer
User Property,utm_source,UTM Source,Initial UTM source,User;Acquisition,Web,team@voxxypresents.com,Visible,google
User Property,utm_medium,UTM Medium,Initial UTM medium,User;Acquisition,Web,team@voxxypresents.com,Visible,cpc
User Property,utm_campaign,UTM Campaign,Initial UTM campaign,User;Acquisition,Web,team@voxxypresents.com,Visible,launch
User Property,utm_term,UTM Term,Initial UTM term,User;Acquisition,Web,team@voxxypresents.com,Visible,event management
User Property,utm_content,UTM Content,Initial UTM content,User;Acquisition,Web,team@voxxypresents.com,Visible,ad_variant_a
User Property,referrer_domain,Referrer Domain,Initial referrer domain,User;Acquisition,Web,team@voxxypresents.com,Visible,google.com
User Property,traffic_source,Traffic Source,Initial traffic source,User;Acquisition,Web,team@voxxypresents.com,Visible,organic
User Property,clubs_created,Clubs Created,Number of clubs user has created,User;Product,Web,team@voxxypresents.com,Visible,2
User Property,venues_listed,Venues Listed,Number of venues user has listed,User;Product,Web,team@voxxypresents.com,Visible,1
User Property,events_created,Events Created,Number of events user has created,User;Product,Web,team@voxxypresents.com,Visible,15
User Property,rsvps_made,RSVPs Made,Number of RSVPs user has made,User;Product,Web,team@voxxypresents.com,Visible,8
User Property,last_seen,Last Seen,Date user was last seen,User;Engagement,Web,team@voxxypresents.com,Visible,2024-12-01T15:30:00Z
